date,symbol,rating
2024-08-13,DEGO,4.98
2024-08-13,ALCX,4.98
2024-08-13,OKB,4.92
2024-08-13,LTO,4.92
2024-08-13,PYR,4.91
2024-08-13,BNB,4.9
2024-08-13,SXP,4.9
2024-08-13,LTC,4.89
2024-08-13,ETC,4.88
2024-08-13,KEY,4.83
2024-08-13,JST,4.82
2024-08-13,KP3R,4.82
2024-08-13,SHIB,4.81
2024-08-13,BAT,4.8
2024-08-13,ATOM,4.79
2024-08-13,FORTH,4.78
2024-08-13,RVN,4.76
2024-08-13,XTZ,4.75
2024-08-13,KLV,4.74
2024-08-13,KMD,4.73
2024-08-13,DIA,4.72
2024-08-13,AXS,4.65
2024-08-13,SLP,4.65
2024-08-13,BTC,4.63
2024-08-13,BURGER,4.61
2024-08-13,ADA,4.6
2024-08-13,PROM,4.6
2024-08-13,ARPA,4.59
2024-08-13,PHA,4.59
2024-08-13,MLK,4.59
2024-08-13,TKO,4.58
2024-08-13,ADX,4.58
2024-08-13,IQ,4.56
2024-08-13,TWT,4.55
2024-08-13,QNT,4.55
2024-08-13,BAL,4.55
2024-08-13,DEXE,4.54
2024-08-13,DOGE,4.5
2024-08-13,FIO,4.47
2024-08-13,XCH,4.47
2024-08-13,EOS,4.46
2024-08-13,KCS,4.46
2024-08-13,SCRT,4.46
2024-08-13,CTC,4.44
2024-08-13,LEO,4.43
2024-08-13,PIVX,4.42
2024-08-13,DASH,4.42
2024-08-13,ETH,4.42
2024-08-13,ROG,4.42
2024-08-13,SNX,4.42
2024-08-13,SUN,4.38
2024-08-13,KLAY,4.36
2024-08-13,CRO,4.35
2024-08-13,DOT,4.34
2024-08-13,DCR,4.33
2024-08-13,NMR,4.33
2024-08-13,WAN,4.32
2024-08-13,HBAR,4.32
2024-08-13,QTUM,4.31
2024-08-13,BADGER,4.3
2024-08-13,GFI,4.28
2024-08-13,FIL,4.27
2024-08-13,PAXG,4.27
2024-08-13,WIN,4.26
2024-08-13,VET,4.24
2024-08-13,HUNT,4.23
2024-08-13,OXT,4.23
2024-08-13,THETA,4.22
2024-08-13,ALPACA,4.2
2024-08-13,EGLD,4.18
2024-08-13,XMR,4.18
2024-08-13,AVAX,4.16
2024-08-13,UFT,4.15
2024-08-13,RARI,4.13
2024-08-13,BAR,4.12
2024-08-13,CORE,4.12
2024-08-13,SNT,4.12
2024-08-13,BOBA,4.09
2024-08-13,RLY,4.08
2024-08-13,MDT,4.07
2024-08-13,RACA,4.07
2024-08-13,LEASH,4.06
2024-08-13,SFP,4.06
2024-08-13,UOS,4.06
2024-08-13,AMP,4.06
